City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
553,La Cruz,MX,79.32,overcast clouds,23.9167,-106.9,Jesús angel
562,Poso,ID,86.59,scattered clouds,-1.3959,120.7524,Hotel 77 Poso
565,Salinopolis,BR,77.79,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
568,Gobo,JP,85.23,few clouds,33.8833,135.15,Kotobuki Inn
571,Westport,US,80.1,clear sky,41.1415,-73.3579,The Westport Inn
572,Shingu,JP,83.91,light rain,33.7333,135.9833,Shingu UI Hotel
573,Jiangkou,CN,88.97,scattered clouds,25.4872,119.1986,DFM Hotel
577,Veraval,IN,77.52,moderate rain,20.9,70.3667,Lords Inn Somnath
579,Baruun-Urt,MN,82.58,clear sky,46.6806,113.2792,Ахмадын амралт сувилал
585,Maicao,CO,78.58,broken clouds,11.3832,-72.2432,Hotel Sancho
586,Pipri,IN,82.98,haze,19.8,75.5333,Sukhana River nilu and rushi home
588,Coahuayana,MX,77.41,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
590,Guanica,PR,80.98,broken clouds,17.9716,-66.908,Copamarina Beach Resort & Spa
593,Karimganj,IN,88.74,broken clouds,24.8667,92.35,Ahar Hotel And Aheli Restaurant
594,Mogadishu,SO,77.52,clear sky,2.0371,45.3438,Hotel Juba
598,Nebug,RU,79.65,few clouds,44.1714,39.0036,Otel' Morskoy Klub
604,Port Hedland,AU,80.65,clear sky,-20.3167,118.5667,The Esplanade Hotel
611,Zihuatanejo,MX,80.13,broken clouds,17.6333,-101.55,La Casa Que Canta
612,Gat,IL,88.39,clear sky,31.61,34.7642,OlusHome
614,Aksha,RU,78.1,scattered clouds,50.2814,113.2867,Vizit
618,Pimenta Bueno,BR,76.1,overcast clouds,-11.6725,-61.1936,Cristalina Palace Hotel
621,Sinnamary,GF,76.78,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
623,Can,TR,76.05,broken clouds,40.0333,27.0524,Can Ogretmenevi
630,Kupang,ID,81.72,clear sky,-10.1667,123.5833,Hotel On The Rock by Prasanthi
632,Denpasar,ID,83.86,few clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
635,Les Cayes,HT,78.6,scattered clouds,18.2,-73.75,Villa Orphee
636,Alyangula,AU,79.25,broken clouds,-13.8483,136.4192,Groote Eylandt Lodge
637,Marand,IR,84.22,clear sky,38.4329,45.7749,کوچه صفا
639,Biltine,TD,77.14,broken clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
642,Virginia Beach,US,80.02,scattered clouds,36.8529,-75.978,Hilton Virginia Beach Oceanfront
644,Koumac,NC,75.09,broken clouds,-20.5667,164.2833,Le Monitel
646,Tahta,EG,88.21,few clouds,26.7693,31.5021,فندق الزيات
648,Lingao,CN,87.33,overcast clouds,19.9103,109.6859,Lingao Ditai Inn
651,Mindelo,CV,76.55,broken clouds,16.8901,-24.9804,Hotel Gaudi
653,Churapcha,RU,79.54,broken clouds,62.0025,132.4325,"""Tusku"""
654,Politika,GR,83.97,clear sky,38.6,23.55,stone house
655,Abu Zabad,SD,77.83,scattered clouds,12.35,29.25,حامد محمد نور
659,Parrita,CR,75.83,overcast clouds,9.5201,-84.3225,Beso del Viento
660,Malidong,PH,78.94,light rain,13.0133,123.4596,Bañares GoldiRocks Beach
664,Padang,ID,86.05,overcast clouds,-0.9492,100.3543,Mercure Padang
665,Wolomin,PL,77.22,clear sky,52.3401,21.2421,Hotel Trylogia
668,Robertsport,LR,76.8,overcast clouds,6.7533,-11.3686,Kwepunha Retreat
669,Strezhevoy,RU,77.58,scattered clouds,60.7333,77.5889,Sibiryachka
671,Niono,ML,76.01,overcast clouds,14.2526,-5.993,Hôtel Campement
672,Nuevo Progreso,MX,80.55,few clouds,23.1667,-97.95,Balneario Rio el Paraiso
673,Arlit,NE,87.58,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
679,Daru,PG,81.32,scattered clouds,-9.0763,143.2092,Daru Lodge
680,Bilma,NE,89.13,clear sky,18.6853,12.9164,Expeditions Ténére voyages
683,Auki,SB,82.8,scattered clouds,-8.7676,160.7034,Auki Motel
684,Tsuruoka,JP,82.44,broken clouds,38.7217,139.8217,Hotel Route-Inn Tsuruoka Inter
685,Bintulu,MY,84.61,light rain,3.1667,113.0333,900 Boutique INN
688,Scottsbluff,US,83.28,clear sky,41.8666,-103.6672,Hampton Inn & Suites Scottsbluff-Conference Center
691,Rock Sound,BS,82.42,clear sky,24.9,-76.2,Pink Corral Bay Property
692,Muzaffarabad,PK,88.93,few clouds,34.37,73.4711,Pearl Continental Muzaffarabad
697,Krasnyy Yar,RU,89.53,broken clouds,46.5331,48.3456,Cottege near Ufa
700,Namatanai,PG,83.16,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
703,Malinovoye Ozero,RU,76.08,clear sky,51.6753,79.7825,Baza Otdykha
704,Sulmona,IT,83.43,clear sky,42.0479,13.9291,Hotel Santacroce
705,Alexandria,EG,80.38,clear sky,31.2156,29.9553,Royal Crown Hotel
707,Taylor,US,88.43,clear sky,32.3001,-99.8337,Elm Creek Bed & Breakfast
711,Terekli-Mekteb,RU,89.29,clear sky,44.1671,45.8698,"Gostevoy Dvor ""U Gul'zary"""
712,Naze,JP,88.72,few clouds,28.3667,129.4833,Shishime Hotel
